Serial number;Course name;Author;Date;Version;Course_name;Cluster;1.3 Data in the Domain;Cluster_data_types
11;AI in Environmental Science ;ABC;09-03-2025 00:00;1.0.0;Environmental Science    ;"Natural Sciences; Social Sciences & Humanities";   Types of Data:    Geospatial Data: Satellite imagery, LiDAR data, GIS data, topographic maps.    Time-Series Data: Climate data, sensor measurements (air and water quality), population data, ecological surveys.    Sensor Data: Data from environmental sensors (temperature, humidity, pollution, etc.).    Biological Data: Genetic data, species distribution data, biodiversity databases.   Text Data: Scientific publications, policy documents, environmental reports.   Image and Audio Data: Wildlife images, animal sounds, environmental soundscapes.    Significance for AI Applications:    Geospatial data enables mapping and spatial analysis for land use, biodiversity, and pollution monitoring.    Time-series data facilitates predictive modeling of climate change, ecological trends, and pollution levels.    Sensor data allows real-time monitoring of environmental conditions and rapid response to pollution events.    Biological data supports biodiversity assessments and conservation efforts.    Text data enhances policy analysis and knowledge discovery.    Image and Audio data allows for the monitoring of species and their environment.    Understanding the data enables:    Targeted selection of AI techniques (e.g., deep learning for image analysis, time-series analysis for climate prediction).    Data preprocessing and feature engineering specific to environmental data characteristics.    Proper interpretation of AI model outputs within the context of environmental science. ;"Image/Visual Data; Sensor/Time-Series Data; Text Data; Geospatial Data; Genomic Data; Audio Data"
12;AI in Fashion ;ABC;10-03-2025 00:00;1.0.0;Fashion    ;Design & Creative Arts;    Types of Data:    Images: High-resolution product images, runway photos, social media posts, and user-generated content.    Customer Behavior Data: Purchase history, browsing patterns, social media interactions, reviews, and feedback.    Text Data: Product descriptions, style guides, fashion articles, social media captions, and customer reviews.    Sales Data: Transaction records, pricing information, inventory data, and sales trends.    3D Model Data: Digital representations of clothing and accessories.    Material Data: Information on the properties and characteristics of different fabrics and materials.    Sensor Data: Data from wearable sensors and smart textiles.    Significance for AI Applications:    Image data is crucial for training models for design generation, virtual try-ons, and quality control.    Customer behavior data enables personalized recommendations and targeted marketing.    Text data is used for sentiment analysis, trend prediction, and product description generation.    Sales data is vital for demand forecasting, supply chain optimization, and inventory management.    3D Model data is used for virtual try-on and design visualization.    Material data can help with sustainability and design innovation.    Understanding the Data: Emphasize how a deep understanding of these data types enables targeted AI techniques, such as computer vision for image analysis, natural language processing (NLP) for text analysis, and machine learning for predictive modeling. ;"Image/Visual Data; Text Data; Structured Data; Sensor/Time-Series Data"
13;AI in Finance;ABC;11-03-2025 00:00;1.0.0;Finance ;Business & Economics;Types of Data: Financial Transactions: Detailed records of all financial activities including purchases, sales, transfers, and payments. Market Data: Real-time and historical data on stock prices, indices, commodity prices, interest rates, and currency exchange rates. Customer Data: Demographic information, transaction history, risk profiles, investment preferences, and engagement data. Social Media Data: Sentiment analysis of social media posts related to companies, products, or market trends. News and Economic Data: Articles, press releases, financial reports, and macroeconomic indicators. Alternative Data: Data from non-traditional sources, such as satellite imagery, web scraping, and sensor data. Significance for AI Applications: Financial transaction data enables fraud detection and risk assessment models. Market data is crucial for algorithmic trading and portfolio optimization. Customer data allows for personalized financial advice and targeted marketing. Social media and news data provide sentiment analysis for market prediction. Alternative data provides unique insights for investment decisions. Data Understanding: Understanding the structure, quality, and limitations of different data types is crucial for selecting and training appropriate AI models. ;"Structured Data; Text Data; Sensor/Time-Series Data; Image/Visual Data"
14;AI in Food Science ;ABC;12-03-2025 00:00;1.0.0;Food Science    ;"Natural Sciences; Applied Sciences & Vocational Fields";   Types of Data:    Sensor Data: Temperature, humidity, pH, and other environmental data from food processing and storage environments.    Image/Video Data: Visual data for quality inspection, defect detection, and ripeness assessment.    Chemical Analysis Data: Data from chromatography, spectroscopy, and other analytical techniques to assess food composition.    Text Data: Consumer reviews, ingredient lists, product descriptions, scientific publications, and regulatory documents.    Nutritional Data: Databases of food composition, dietary guidelines, and allergen information.    Supply Chain Data: Data on inventory, logistics, transportation, and supplier information.    Genomic Data: Data on food crops and microorganisms for understanding traits and identifying safety risks.    Significance for AI Applications:    Sensor data enables real-time monitoring and control of food processing and storage conditions.    Image data allows for automated quality control and defect detection.    Chemical analysis data is crucial for assessing food composition and nutritional value.    Text data provides insights into consumer preferences and product feedback.    Nutritional data enables personalized dietary recommendations and recipe optimization.    Supply chain data facilitates efficient logistics and reduces waste.    Genomic data enhances understanding of food traits and safety.    Data understanding allows for targeted AI techniques, such as computer vision for quality control, natural language processing for sentiment analysis, and machine learning for predictive modeling. ;"Image/Visual Data; Sensor/Time-Series Data; Text Data; Structured Data; Genomic Data"
15;AI in Hospitality ;ABC;13-03-2025 00:00;1.0.0;Hospitality    ;Applied Sciences & Vocational Fields;   Types of Data:    Structured Data: Reservation data (dates, room types, guest demographics), customer feedback scores, transaction records, loyalty program data, occupancy rates, pricing data, and inventory records.    Unstructured Data: Customer reviews (text), social media posts (text, images), emails, chat logs, voice recordings from customer service interactions, and images from security cameras.    Sensor Data: Data from IoT devices (e.g., temperature, occupancy sensors, energy consumption, equipment status).    Significance for AI Applications:    Structured data provides the foundation for predictive models (e.g., for pricing and demand forecasting) and for customer segmentation.    Unstructured data enables sentiment analysis, personalization, and insights into customer preferences and behavior.    Sensor data allows for real-time monitoring of operations, predictive maintenance, and optimization of resource usage.    Understanding Data: Understanding the nuances of different data types allows targeted application of specific AI techniques, including supervised learning for predictions, NLP for sentiment analysis, and time series analysis for forecasting. ;"Structured Data; Text Data; Sensor/Time-Series Data; Image/Visual Data"
16;AI in Journalism ;ABC;14-03-2025 00:00;1.0.0;Journalism    ;Social Sciences & Humanities;   Types of Data:    Unstructured Text: News articles, blog posts, social media feeds, press releases, interview transcripts.    Structured Data: Public records, financial reports, election data, demographic statistics, event logs.    Multimedia Data: Images, videos, audio recordings.    User Behavior Data: Website clicks, social media interactions, subscription data.    Significance for AI Applications:    Unstructured text requires NLP to extract meaning, identify entities, and generate summaries.    Structured data enables predictive modeling, trend analysis, and pattern discovery.    Multimedia data needs specialized AI algorithms for image recognition, video analysis, and audio transcription.    User behavior data helps personalize content and improve engagement.    Data Understanding: Understanding the nuances of journalism data is crucial for developing effective AI tools. For example, understanding journalistic ethics and style is important for developing automated writing tools that do not compromise journalistic standards. ;"Text Data; Structured Data; Image/Visual Data; Audio Data"
17;AI in Law ;ABC;15-03-2025 00:00;1.0.0;Law    ;Social Sciences & Humanities;   Types of Data:    Unstructured Text Data: Legal documents (court opinions, statutes, contracts, pleadings), emails, legal briefs, and witness statements.    Structured Data: Case metadata (court, date, judge, case type), legal codes, and financial data related to legal proceedings.    Semi-Structured Data: Legal forms, deposition transcripts, and regulatory filings.    Significance for AI Applications:    Unstructured text data is the primary data source for many legal AI applications, requiring NLP techniques to extract meaning and identify relevant information.    Structured data provides context and can be used to train models for case outcome prediction and analysis.    Understanding the format and semantics of legal data is crucial for developing effective AI tools.    Data Challenges:    Legal data is often complex, domain-specific, and can be difficult to obtain.    Data privacy and confidentiality concerns must be addressed when using legal data for AI applications. ;"Text Data; Structured Data"
18;AI in Linguistics ;ABC;16-03-2025 00:00;1.0.0;Linguistics    ;Social Sciences & Humanities;   Types of Data:    Text Data: Corpus data, literary texts, social media posts, transcribed conversations, historical documents.    Audio Recordings: Speech data from interviews, oral histories, and linguistic experiments.    Lexical Data: Dictionaries, thesauri, word embeddings, and ontologies.    Annotated Data: Text and speech data labeled with linguistic information (e.g., part-of-speech tags, syntactic structures).    Multimodal Data: Data combining text, audio, and visual information (e.g., video recordings of sign language).    Significance for AI Applications:    Text data is essential for training NLP models, including sentiment analysis and topic modeling.    Audio data is critical for speech recognition and synthesis systems, as well as for analyzing phonetic and phonological patterns.    Lexical data provides the foundation for understanding word meanings and relationships.    Annotated data enables supervised learning algorithms to learn from examples and improve model accuracy.    Understanding data types allows for targeted application of AI techniques such as supervised learning for classification and regression tasks, unsupervised learning for clustering and topic modeling, and deep learning for complex language modeling. ;"Text Data; Audio Data; Others"
19;AI in Logistics and Supply Chain Management  ;ABC;17-03-2025 00:00;1.0.0;Logistics and Supply Chain Management     ;"Business & Economics; Engineering & Technology";     Types of Data:    Geospatial Data: GPS coordinates, map data, road networks, location of warehouses, and customer addresses.    Time-Series Logistics Data: Order history, shipment times, delivery times, inventory levels, and transportation schedules.    Sensor Data: Temperature, humidity, and vibration data from vehicles and storage facilities.    Transactional Data: Purchase orders, invoices, and customer information.    Weather Data: Historic and real-time weather conditions.    Traffic Data: Real-time traffic patterns and historical traffic data.    Carrier Performance Data: Delivery times, on-time rates, and damages.    Significance for AI Applications:    Geospatial data is crucial for route optimization and real-time tracking.    Time-series data enables demand forecasting and inventory management.    Sensor data is vital for predictive maintenance and quality control.    Transactional data informs pricing strategies and customer behavior analysis.    Understanding this data allows for targeted AI techniques such as:    Supervised learning: For demand forecasting and predictive maintenance.    Reinforcement learning: For route optimization and dynamic resource allocation.    Clustering: For customer segmentation and warehouse layout optimization.   Time series forecasting: For demand prediction and inventory control. ;"Geospatial Data; Sensor/Time-Series Data; Structured Data"
20;AI in Manufacturing  ;ABC;18-03-2025 00:00;1.0.0;Manufacturing     ;"Engineering & Technology; Applied Sciences & Vocational Fields";   Types of Data:    Sensor Data: Time-series data from machinery sensors (temperature, vibration, pressure, etc.), crucial for predictive maintenance and anomaly detection.    Structured Production Data: Data from manufacturing execution systems (MES), including production rates, inventory levels, and machine status, used for process optimization.    Image and Video Data: Visual data from cameras used for quality inspection, defect detection, and process monitoring.    Text Data: Maintenance logs, operator notes, and quality reports, which can be analyzed using NLP for insights and process improvements.    Supply Chain Data: Data on suppliers, lead times, logistics, and inventory, used for optimizing supply chain efficiency.    CAD/CAM Data: Design and manufacturing specifications data    Significance for AI Applications:    Sensor data enables real-time monitoring and predictive analytics for maintenance.    Structured production data facilitates process optimization and efficiency improvements.    Image data allows for automated quality control and defect detection.    Text data provides valuable insights from human interactions and maintenance records.    Understanding this data enables targeted AI techniques like:    Time-series analysis for predictive maintenance.    Supervised learning for quality inspection.    Reinforcement learning for process optimization. ;"Image/Visual Data; Sensor/Time-Series Data; Text Data; Structured Data"
21;AI in Oceanography  ;ABC;19-03-2025 00:00;1.0.0;Oceanography     ;Natural Sciences;   Types of Data:    Geospatial Data: Satellite imagery (e.g., chlorophyll concentration, sea surface temperature), bathymetry maps, coastal zone data.    Sensor Data: Temperature, salinity, pressure, current velocity, dissolved oxygen, pH, and other parameters measured by in-situ sensors (e.g., Argo floats, buoys, moorings).    Image Data: Underwater images and videos of marine life and habitats, aerial photos of coastlines.    Acoustic Data: Sound recordings from hydrophones used for marine mammal detection, fish stock assessment, and seafloor mapping.    Biological Data: Species distribution records, genetic data, eDNA samples.    Oceanographic Model Output: Simulations of ocean currents, temperature, salinity, and other variables.    Significance for AI Applications:    Geospatial data enables large-scale mapping and monitoring of ocean features and processes.    Sensor data provides high-resolution, real-time information for understanding ocean dynamics.    Image data allows for automated visual analysis and species identification.    Acoustic data offers insights into marine life behavior and ecosystem health.    Biological data supports the study of biodiversity and ecosystem function.    Oceanographic model output enables AI to learn from simulations and forecast future ocean states.   Data Understanding: Understanding the nuances of oceanographic data types is critical for selecting and applying appropriate AI techniques (e.g. convolutional neural networks for image data, time series analysis for sensor data). ;"Image/Visual Data; Sensor/Time-Series Data; Geospatial Data; Audio Data; Simulation Data; Genomic Data"
22;AI in Oncology ;ABC;20-03-2025 00:00;1.0.0;Oncology    ;Medical & Health Sciences;   Types of Data:    Structured Data: Electronic Health Records (EHR) data including patient demographics, medical history, lab results, treatment records, and clinical outcomes.    Medical Images: Radiology images (e.g., CT, MRI, PET, X-ray), histopathology slides, and microscopy images.    Genomic Data: DNA sequencing data, RNA sequencing data, gene expression data, and other omics data related to cancer.    Text Data: Clinical notes, pathology reports, research publications, and patient communication data.    Multi-modal data: Data combining different types of data such as clinical, imaging, and genomic data to provide a holistic view.    Significance for AI Applications:    Structured data provides a foundation for patient-specific modeling and prediction.    Medical images provide visual data for tumor detection, segmentation, and characterization.    Genomic data allows for personalized medicine approaches and understanding the molecular basis of cancer.    Text data can be used for information extraction, clinical decision support, and patient sentiment analysis.    Understanding Data: Allows the selection of appropriate AI techniques, such as convolutional neural networks for image analysis, recurrent neural networks for time-series data, and ensemble methods for integrating multi-modal data. ;"Image/Visual Data; Text Data; Structured Data; Genomic Data"
23;AI in Pharmacology  ;ABC;21-03-2025 00:00;1.0.0;Pharmacology     ;"Medical & Health Sciences; Natural Sciences";   Types of Data:    Genomic Data: DNA sequences, gene expression data, and single nucleotide polymorphisms (SNPs).    Proteomic Data: Protein sequences, structures, and expression levels.    Drug Databases: Information on drug structures, properties, and interactions (e.g., PubChem, DrugBank).    Clinical Records: Patient demographics, medical histories, lab results, and treatment outcomes.    Pharmacokinetic Data: Absorption, distribution, metabolism, and excretion (ADME) data.    Biological Pathway Data: Information on cellular and molecular pathways involved in disease.    Scientific Literature: Research articles, patents, and other scientific publications.    Imaging Data: Microscopy images, MRI scans, and other imaging data related to drug action.    Significance for AI Applications:    Genomic and proteomic data inform drug target identification and personalized medicine.    Drug databases provide essential information for drug discovery and design.    Clinical records enable AI models for drug efficacy prediction and ADR detection.    Pharmacokinetic data is critical for understanding drug behavior in the body.    Understanding Data:    Understanding the nature of the data enables the selection of appropriate AI techniques (e.g., deep learning for image analysis, graph neural networks for molecular interactions).    Data preprocessing, cleaning, and normalization are essential for accurate model training. ;"Genomic Data; Structured Data; Image/Visual Data; Text Data"
24;AI in Psychology;ABC;22-03-2025 00:00;1.0.0;Psychology ;"Social Sciences & Humanities; Medical & Health Sciences";Types of Data: Text Data: Transcripts of therapy sessions, patient notes, responses to questionnaires, social media posts, and written narratives. Audio Data: Speech patterns, tone of voice, and other vocal cues captured during therapy sessions or interviews. Video Data: Facial expressions, body language, and behavioral patterns recorded during interactions. Physiological Data: Heart rate, skin conductance, brain activity (EEG/fMRI), and other physiological measures. Behavioral Data:  Data from wearable sensors, mobile devices (e.g. app usage, location), and online interactions. Structured Data: Demographic information, clinical assessment scores, and treatment history. Significance for AI Applications: Text data allows for natural language processing (NLP) for sentiment analysis, topic modeling, and identifying key themes in patient narratives. Audio and video data enables emotion detection and analysis, providing insights into nonverbal communication. Physiological data offers objective measures of emotional and cognitive states. Behavioral data provides longitudinal insights into patterns of behavior and mental health. Structured data is used for predictive modeling, patient profiling, and treatment planning. Data Understanding: Understanding the nuances of psychological data (e.g., cultural context, individual variations) is crucial for developing accurate and ethical AI applications. Knowledge of data collection methods and potential biases is essential for ensuring the validity of AI models. Domain expertise is required to interpret the results of AI analyses and draw meaningful conclusions. ;"Text Data; Audio Data; Image/Visual Data; Sensor/Time-Series Data; Structured Data"
25;AI in Public Health  ;ABC;23-03-2025 00:00;1.0.0;Public Health     ;"Medical & Health Sciences; Social Sciences & Humanities";   Types of Data:    Epidemiological Data: Disease incidence and prevalence data, mortality rates, demographic information, risk factor data (e.g., smoking, obesity).    Electronic Health Records (EHRs): Patient medical histories, diagnoses, treatments, lab results, medication records (structured and unstructured data).    Geospatial Data: Geographic location data, environmental data, mapping of disease clusters.    Genomic Data: Genetic information relevant to disease risk and transmission.    Social Media Data: Posts, tweets, and other social media content related to health concerns and public health issues.    Sensor Data: Wearable sensor data (e.g., heart rate, activity levels) relevant to health monitoring.    Public Health Surveys: Data collected through national or regional health surveys.    Environmental Data: Air quality, water quality, pollution levels.    Significance for AI Applications:    Epidemiological data allows for pattern recognition and predictive modeling of disease outbreaks.    EHR data enables personalized risk assessment and targeted interventions.    Geospatial data facilitates disease mapping and identification of high-risk areas.    Social media data can provide early indications of emerging health concerns.    Sensor data offers real-time insights into individual health behaviors and risk factors.    A combination of all of these enables a holistic approach to AI in public health.    Understanding Data: A thorough understanding of the specific types of data available in public health is critical to selecting and developing appropriate AI algorithms. For example, time-series data analysis is essential for disease forecasting, while NLP is useful for extracting insights from clinical notes. ;"Structured Data; Geospatial Data; Genomic Data; Sensor/Time-Series Data; Text Data"
26;AI in Radiology  ;ABC;24-03-2025 00:00;1.0.0;Radiology     ;Medical & Health Sciences;   Types of Data:    Medical Images: X-rays, CT scans, MRI scans, ultrasound, and PET scans. These are primarily in DICOM format.    Structured Data: Patient demographics, medical history, lab results, radiology reports, and treatment records.    Text Data: Radiology reports, clinical notes, and patient narratives.    Genomic Data: Genetic information relevant to certain diseases which might be correlated with the imaging.    Significance for AI Applications:    Medical images provide visual information essential for training AI models for diagnostic tasks, segmentation, and detection.    Structured data enables AI to learn patient-specific patterns and correlations, improving predictive capabilities.    Text data facilitates natural language processing (NLP) for understanding and extracting relevant information from radiology reports.    Genomic data offers further insights that can be correlated with the imaging data to improve diagnostic accuracy.    Data Understanding:  Understanding the nuances in image quality, anatomical variations, and disease manifestations allows for the development of targeted AI techniques like convolutional neural networks (CNNs) for image analysis, recurrent neural networks (RNNs) for report analysis, and classical machine learning for structured data. ;"Image/Visual Data; Structured Data; Text Data; Genomic Data"
27;AI in Real Estate  ;ABC;25-03-2025 00:00;1.0.0;Real Estate     ;Business & Economics;     Types of Data:    Structured Data:    Property characteristics (square footage, number of bedrooms/bathrooms, year built, lot size).    Sales data (prices, transaction dates, location).    Demographic data (population density, income levels, education).    Economic indicators (interest rates, employment rates).    Unstructured Data:    Property images (interior, exterior, surrounding areas).    Property descriptions and text data from listings.    Geospatial data (maps, satellite imagery).    Social media data (sentiment analysis of real estate trends).    Legal and compliance documents.    Significance for AI Applications:    Structured data provides the foundation for training machine learning models for property valuation and market analysis.    Unstructured data is essential for AI applications such as computer vision (image analysis) and natural language processing (text understanding).    Combining structured and unstructured data enables more comprehensive and accurate insights for AI applications.   Understanding the nuances of each data type enables targeted AI techniques like regression for pricing, computer vision for image processing, and NLP for text analysis. ;"Image/Visual Data; Text Data; Structured Data; Geospatial Data"
