Serial number;Course name;Author;Date;Version;Course_name;Cluster;Keywords_1.1 Domain;Keywords_1.2 Potential AI Use Cases;Keywords_1.3 Data in the Domain;Keywords_1.4 Implications of Using AI;Keywords_1.5 Additional Learning Resources;Keywords_2.1 Learners and Their Interaction with AI;Keywords_2.2 Instructors;Keywords_2.3 Internal Support;Keywords_3.1 Learning Outcomes;Keywords_3.2 Assessment;Keywords_3.3 Learning Activities;Yes;Yes
25;AI in Public Health  ;ABC;23-03-2025;1.0.0;Public Health     ;"Medical & Health Sciences; Social Sciences & Humanities";"disease prevention; population health; AI-driven interventions; data analysis; trend prediction; health policy; public health strategies.";"disease outbreak prediction; early warning systems; population health monitoring; healthcare resource allocation; personalized interventions; drug discovery; health behavior change";"disease outbreaks; personalized risk assessment; disease mapping; emerging health concerns; individual health behaviors; predictive modeling; targeted interventions; high-risk areas; real-time insights; time-series analysis; clinical notes";"Data privacy; algorithmic bias; transparency; informed consent; data protection regulations; AI liability; job displacement; health equity; public trust; health disparities; pandemic early warning; personalized interventions; model validation; public health integration.";"OER; public health data; AI in medicine; online health courses; biomedical engineering journals.";"public health professionals; AI interventions; risk assessment; collaborative design; data quality assurance; AI-driven insights; implementation solutions";"AI-driven public health research; interdisciplinary AI education; ethical AI implications; predictive modeling; disease surveillance.";"AI curriculum; data analysis tools; public health datasets; technical personnel; cloud computing; institutional collaboration.";"AI fundamentals; public health applications; AI model evaluation; data analysis; ethical considerations; interdisciplinary collaboration; innovative solutions.";"AI in public health; case studies; data analysis; public health interventions; AI solution design; project implementation; comprehensive report; project presentation; quizzes; class participation; final exam; ethical considerations";"AI-public health integration; real-world case studies; hands-on labs; ethical implications; AI application proposals; public health infrastructure; brainstorming sessions; AI-based public health applications.";Yes;Yes
26;AI in Radiology  ;ABC;24-03-2025;1.0.0;Radiology     ;Medical & Health Sciences;"medical imaging; diagnostic accuracy; AI-enhanced analysis; workflow automation; quantitative insights";"AI-driven medical imaging; tumor classification; ALS detection; radiation dose optimization; fracture detection; image segmentation; workflow prioritization; computer-aided diagnosis.";"Medical imaging modalities; DICOM format; patient-specific patterns; NLP radiology reports; genomic correlations; diagnostic AI; CNN image analysis; RNN report analysis.";"AI bias; data privacy; radiologist deskilling; liability; misdiagnosis; data protection; job displacement; healthcare access; diagnostic accuracy; algorithmic transparency; AI validation";"medical image analysis; deep learning; AI in medicine; online courses; scientific journals; open educational resources.";"Medical undergraduates; AI-tool users; radiology; critical evaluation; AI limitations; collaborative AI; clinical innovation; foundational medicine.";"radiology PhD; AI in medical imaging; interdisciplinary teaching; machine learning; deep learning; computer vision; TensorFlow/PyTorch; radiological imaging; clinical diagnoses.";"funding; AI-medical imaging personnel; semester duration; anonymized datasets; GPU workstations; interdisciplinary collaboration; learning management system";"AI fundamentals; radiology use cases; data significance; benefit-limitation assessment; ethical-legal implications; algorithm application; result interpretation; proposal development.";"AI-radiology assessment; case study analysis; AI-solution design; clinical relevance presentation; comprehensive examination; interactive engagement.";"radiology AI applications; problem-centered learning; interactive demonstrations; hands-on labs; AI integration; ethical implications; medical image analysis.";Yes;Yes
27;AI in Real Estate  ;ABC;25-03-2025;1.0.0;Real Estate     ;"Business & Economics; Applied Sciences & Vocational Fields";"property acquisition; stakeholder management; valuation accuracy; trend forecasting; AI-driven personalization; market analysis";"AI-driven valuation; predictive market analysis; personalized recommendations; virtual tours; AI chatbots; fraud detection; smart property management.";"property characteristics; sales data; demographic data; economic indicators; property images; geospatial data; social media sentiment; legal documents; machine learning; property valuation; market analysis; computer vision; natural language processing; regression; image processing; text analysis";"Algorithmic bias; data privacy; AI transparency; fair housing; job displacement; explainable AI; human oversight; equitable access; property valuation.";"OER; machine learning; data science; AI; deep learning; textbooks; online courses; real estate AI tools; proptech; property valuation; 3D property tours.";"Real estate AI adoption; professional development; decision-making enhancement; AI-powered solutions integration; stakeholder communication; graduate education.";"Real estate AI; Machine learning; Data analytics; Valuation; Market analysis; Teaching experience.";"Real estate AI education; funding; teaching assistants; semester duration; public datasets; Python; cloud computing; interdisciplinary support; ethical framework.";"AI in real estate; property valuation; market analysis; data utilization; ethical implications; AI project development.";"real estate data analysis; AI-powered solutions; case study evaluations; project implementation; learner assessment; presentation skills; class engagement";"AI-driven real estate solutions; property price prediction; investment opportunity identification; hands-on AI labs; real estate decision-making simulation; Python for real estate data analysis; AI valuation tools; integrating AI with traditional practices; collaborative learning in AI; project-based AI implementation.";Yes;Yes
28;AI in Retail ;ABC;26-03-2025;1.0.0;Retail    ;Business & Economics;"consumer sales; omnichannel; inventory management; customer engagement; AI-driven personalization; operational optimization; data-driven decisions; competitive adaptation";"purchase prediction; proactive engagement; AI-powered forecasting; stock optimization; personalized recommendations; micro-segmentation; 24/7 chatbots; fraud detection; visual search; dynamic pricing";"transaction history; customer reviews; predictive modeling; sentiment analysis; customer segmentation; unstructured data; semi-structured data; sales forecasting; inventory optimization";"AI bias; discriminatory practices; data privacy; transparency; data protection regulations; job displacement; personalized experiences; data security; brand values; reskilling.";"OER; AI/ML courses; Retail AI specialization; AI product management; AI fundamentals; AI adoption; digital transformation; retail case studies; AI retail blogs; Kaggle datasets.";"retail AI education; business students; e-commerce professionals; AI application understanding; data-driven decision-making; ethical AI advocacy; AI-powered tools interaction; retail operations knowledge.";"AI-driven retail; machine learning; retail management; data analytics; e-commerce; pedagogy.";"Course duration; computer labs; cloud platform; retail datasets; IT support; library; budget constraints; personnel limitations; interdisciplinary challenges; teaching collaboration; funding opportunities; online resources.";"AI fundamentals; retail applications; data analysis; algorithm implementation; solution design; ethical assessment; insight communication; collaborative projects.";"AI-driven retail solutions; case study analysis; model building exercises; academic reviews; collaborative project design; problem-solving implementation; midterm assessment; presentation clarity; class engagement.";"AI-driven Retail Solutions; Retail-Specific AI Algorithms; Applied Retail AI; Hands-On AI Model Building; Ethical AI Integration; Experiential E-Commerce Learning; Retail AI Case Studies.";Yes;Yes
29;AI in Robotics  ;ABC;27-03-2025;1.0.0;Robotics     ;"Engineering & Technology; Computer Science & Data";"robotics engineering; intelligent machines; AI-driven adaptability; autonomous systems";"autonomous navigation; object recognition; human-robot interaction; adaptive control; fault detection; robot swarms; AI algorithms";"sensor data; time-series data; 3D models; simulation data; text/speech data; robot state; environment perception; motion planning/control; AI training; human-robot communication; computer vision; deep learning; reinforcement learning.";"job displacement; autonomous accountability; algorithmic bias; data privacy; robot liability; deployment regulations; social norms; efficiency; accessibility; hazardous safety; manufacturing efficiency; disability aid; job losses; robot misuse; social isolation; surgical robots; autonomous vehicles; AI robustness.";"Robotics education; online platforms; OER resources; robotics textbooks; AI textbooks; robotics journals; ROS; Gazebo; deep learning frameworks; OpenCV.";"AI-Robotics Integration; Robotics Professionals; Python Programming; Robotics Principles; AI-Powered Solutions; Robotic System Design; AI Technology Evaluation; AI-Driven Development; Developer-Integrator-User Interaction";"PhD robotics; AI-powered robotics development; machine learning; deep learning; computer vision; reinforcement learning; Python; TensorFlow; PyTorch; kinematics; dynamics; control; university-level teaching.";"Budget allocation; teaching assistants; semester duration; domain-specific datasets; high-performance computing; robotics development platforms; AI libraries; interdisciplinary support; research facilities.";"AI fundamentals; robotic applications; algorithm design; performance evaluation; AI integration; real-world solutions; ethical implications; technical communication";"AI algorithm implementation; robotic tasks; object recognition; path planning; AI-powered system design; project demonstrations; concept comprehension.";"AI-Robotics Course; Problem-centered Learning; Real-world Challenges; Hands-on Labs; Group Projects; AI Algorithm Implementation; Robotics Workflow Integration; Theoretical Concepts; Practical Skills; Project-based Learning";Yes;Yes
30;AI in Sports ;ABC;28-03-2025;1.0.0;Sports    ;Applied Sciences & Vocational Fields;"competitive physical activities; performance enhancement; data-driven insights; fan engagement; personalized optimization.";"biomechanics analysis; predictive modeling; talent scouting; fatigue analysis; injury risk; AI-driven training; real-time health monitoring; game footage analysis; optimal strategies; personalized content; interactive fan experiences; AI chatbots; equipment optimization; automated officiating.";"Game footage; player tracking; performance metrics; fitness data; wearable sensors; medical records; social media; scouting reports; computer vision; injury prediction; fan engagement; personalized experiences; AI techniques.";"AI bias; athlete data privacy; fair officiating; data protection laws; intellectual property; liability; job displacement; data-driven performance; personalized content; talent selection; injury reduction.";"Sports analytics resources; soccer analytics; data-driven journalism; sports analytics courses; baseball data analysis; video analysis software; Python libraries; open datasets.";"sports science students; sports management students; data analytics students; sports professionals; AI integration; AI-driven insights; player performance; strategy optimization; fan engagement; AI implementation; sports decision-making; AI application development.";"sports analytics; AI-driven optimization; machine learning; data visualization; technical communication; practical application; Python; R.";"semester duration; teaching assistants; public datasets; sports data repositories; Python; R; video analysis software; cloud computing; interdisciplinary collaboration; hands-on activities";"AI in sports; machine learning; performance analysis; injury prediction; fan engagement; sports data; ethical implications; AI solutions.";"AI in sports; case studies; data visualization; AI application design; project presentation; assessment rubrics; diverse formats.";"sports AI; player tracking; injury prediction; fan engagement; real-world applications; hands-on exercises; ethical implications; data analysis; machine learning models; sports simulations.";Yes;Yes
31;AI in Transportation  ;ABC;29-03-2025;1.0.0;Transportation     ;"Engineering & Technology; Applied Sciences & Vocational Fields";"Mobility; logistics; sustainability; automation; data-driven insights; smart cities.";"autonomous vehicles; AI-driven perception; traffic flow optimization; predictive maintenance; logistics optimization; personalized transportation; enhanced safety.";"sensor modalities; time-series analysis; geospatial mapping; vehicle telematics; public transit informatics; weather informatics; accident analytics; real-time perception; predictive modeling; AI-driven navigation";"algorithmic bias; data privacy; job displacement; liability; regulatory frameworks; accessibility; urban planning; public trust; safety certification; robustness";"Autonomous driving resources; AI platforms; transportation datasets; deep learning courses; self-driving car specialization; intelligent transportation systems; traffic flow theory.";"AI-powered transportation; interdisciplinary engineering; urban planning; transportation policy; AI integration; informed decision-making; innovation contribution.";"Automotive AI; PhD; machine learning; deep learning; computer vision; data analysis; simulation; university teaching.";"course resources; budget constraints; AI development platforms; transportation datasets; high-performance computing; interdisciplinary support";"AI fundamentals; transportation domain; use cases; autonomous vehicles; traffic management; predictive maintenance; data analysis; model development; decision-making; problem-solving; ethical implications; risk assessment; proposal development.";"AI in transportation; problem sets; data analysis; case studies; prototype development; traffic management; autonomous navigation; conceptual understanding; class participation.";"AI in transportation; autonomous driving; traffic management; predictive modeling; hands-on labs; project-based learning; industry expert lectures; interactive discussions; collaborative problem-solving; future mobility shaping.";Yes;Yes
32;AI in Urban Planning  ;ABC;30-03-2025;1.0.0;Urban Planning     ;"Engineering & Technology; Social Sciences & Humanities";"urban sustainability; AI-driven optimization; resilient infrastructure; resource allocation.";"urban infrastructure management; traffic optimization; sustainable planning; zoning optimization; predictive policing.";"geospatial analysis; real-time insights; predictive modeling; population needs; sentiment analysis";"algorithmic bias; data privacy; AI accountability; job displacement; digital divide; equitable urban development; sustainable AI; citizen well-being";"OER resources; smart cities; urban AI; urban informatics; open data portals; AI fundamentals; geospatial analysis; urban technology; AI case studies; city development reports.";"urban planning students; practicing urban planners; AI integration; urban data; AI-powered planning tools; AI insights; critical evaluation.";"urban planning; AI applications; interdisciplinary research; machine learning; statistical analysis; Python programming; urban data; university teaching.";"GIS software; city-level datasets; AI extensions; cloud computing; Python libraries; interdisciplinary teaching; urban planning labs; software licenses; data access; teaching assistants.";"AI principles; urban planning applications; smart city development; traffic management; sustainable infrastructure; urban data analysis; machine learning; spatial analysis; AI model development; ethical implications; stakeholder communication.";"AI-driven urban solutions; ethical implications; data analysis; group project; quizzes; final exam; class participation; urban datasets; real-world AI applications; prototype implementation.";"AI-driven urban planning; problem-centered learning; real-world case studies; hands-on AI labs; urban data analysis; AI model building; collaborative problem-solving; technology integration; critical thinking; professional perspectives.";Yes;Yes
33;AI in Advanced_Semiconductor_Nanotechnologies;ABC;28-02-2025;1.0.0;Advanced Semiconductor Nanotechnologies    ;"Engineering & Technology; Natural Sciences";"Semiconductor nanotechnologies; nanoscale fabrication; AI-enhanced process control; material discovery; device performance; complex datasets; semiconductor research; AI integration";"Semiconductor manufacturing; computer vision; defect identification; predictive maintenance; material property prediction; process parameter optimization; device behavior simulation.";"Semiconductor manufacturing; sensor measurements; microscopy; fabrication parameters; production logs; material characterization; predictive maintenance; defect detection; process optimization; yield improvement; deep learning; image analysis; time-series analysis";"AI ethics; algorithmic bias; intellectual property; data privacy; workforce automation; semiconductor manufacturing; process control errors; material selection; sustainability; retraining; upskilling";"IEEE Xplore; ScienceDirect; arXiv; SEMI; Gartner; Coursera; edX; Udacity; Applied Materials; ASML; Lam Research; AI-driven nanotechnology; AI in semiconductor manufacturing; materials science; industry trends; technological advancements; online courses; whitepapers; AI solutions";"Semiconductor physics; nanotechnology; AI optimization; materials discovery; device performance; AI collaboration; process enhancement; graduate education.";"Semiconductor nanotechnologies; AI-driven material discovery; nanotechnology PhD; computer science; AI; semiconductor physics; materials science; machine learning algorithms; theoretical-practical bridge.";"Semester-long course; software tools; domain-specific datasets; high-performance computing; interdisciplinary teaching; budget constraints; proprietary data access.";"AI fundamentals; semiconductor applications; defect detection; process optimization; material discovery; data analysis; ethical implications; nanotechnology";"AI-driven solutions; defect detection; microscopy images; predictive models; equipment maintenance; sensor data; semiconductor manufacturing; fabrication process optimization; AI concepts; nanotechnology applications; group project presentation; class participation.";"AI in semiconductor manufacturing; defect detection; material discovery; brainstorming AI applications; image analysis; data mining; predictive modeling; hands-on AI labs; Python; TensorFlow; PyTorch; AI integration; AI-driven semiconductor technology";Yes;Yes
34;AI in Biomechanical_Engineering;ABC;28-02-2025;1.0.0;Biomechanical Engineering    ;"Engineering & Technology; Medical & Health Sciences";"Biomechanical engineering; human movement mechanics; injury mechanisms; assistive device design; AI-enhanced analysis; motion analysis; personalized prosthetics; injury prediction; rehabilitation optimization; athletic performance.";"AI-driven biomechanics; gait analysis; prosthetics personalization; injury risk prediction; intelligent rehabilitation; athletic performance optimization; ergonomic assessment";"Gait analysis; biomechanical sensors; medical imaging; motion capture; wearable sensors; automated diagnosis; assistive devices; musculoskeletal models; movement patterns; sports performance; rehabilitation; time-series analysis; image recognition";"AI ethics; data privacy; algorithmic bias; AI transparency; healthcare regulations; medical device compliance; patient consent; healthcare accessibility; job displacement; AI literacy; personalized therapy; algorithmic bias in diagnosis";"Biomechanics; neuroengineering; biomedical engineering; medical device design; FDA guidelines; prosthetics; orthotics; AI-driven sports science; sports performance analysis; injury prevention; sports analytics";"Human motion; rehabilitation technology; AI-driven biomechanics; assistive technology; rehabilitation engineering; sports science.";"Biomechanics; AI integration; human movement analysis; interdisciplinary teaching; student mentorship; data analysis; practical application";"Biomechanics lab; motion capture; force plates; EMG; AI software; MATLAB; Python; TensorFlow; interdisciplinary collaboration; research support";"AI-biomechanics; motion analysis; prosthetic design; injury prediction; rehabilitation; adaptive systems; ethical implications";"Gait analysis; prosthetic design; AI optimization; rehabilitation system; predictive modeling; ACL injury; biomechanical principles; AI concepts; group project; final presentation; class participation.";"AI-biomechanics; prosthetics; injury prediction; personalized rehabilitation; motion analysis; gait data; predictive models; biomechanical engineering; assistive technology";Yes;Yes
35;AI in Biomedical_Engineering;ABC;28-02-2025;1.0.0;Biomedical Engineering    ;"Engineering & Technology; Medical & Health Sciences";"Biomedical engineering; healthcare; AI-driven diagnostics; personalized treatment; drug discovery; data analysis; automation; medical diagnoses.";"AI-diagnostics; medical imaging; robotic surgery; personalized medicine; drug discovery; AI-prosthetics";"EHR; MRI; CT scans; clinical trials; DNA sequences; wearable devices; disease progression; treatment outcomes; anomaly detection; diagnostic accuracy; personalized medicine; early detection";"AI ethics; algorithmic bias; data privacy; healthcare regulations (HIPAA; GDPR; FDA); AI trust; diagnostic accuracy; misdiagnosis potential; healthcare access; professional role changes";"AI-driven diagnostics; biomedical engineering; medical imaging; deep learning healthcare; online courses; AI in healthcare; medical image analysis; open educational resources.";"Biomedical AI; medical diagnostics; AI-driven treatment; healthcare collaboration; AI safety; medical device evaluation; AI solution design; programming; mathematical competence.";"Biomedical engineering; AI-driven healthcare; machine learning; medical imaging; signal processing; AI ethics; regulatory compliance; AI deployment; healthcare applications.";"Medical imaging AI; software tools; Python; TensorFlow; ITK; 3D Slicer; imaging datasets; patient records; AI model training; high-performance computing; interdisciplinary collaboration.";"AI principles; biomedical AI applications; medical image analysis; patient data analysis; AI-driven diagnostics; AI-driven treatment; healthcare ethics; AI regulation.";"AI algorithms; medical image analysis; disease risk prediction; AI-driven diagnostics; treatment planning; performance evaluation; usability assessment; biomedical engineering; problem-solving activities";"AI-driven healthcare; cancer detection; personalized treatment; medical imaging; AI ethics; clinical workflow; diagnostic solutions";Yes;Yes
36;AI in Biosystems_Engineering;ABC;28-02-2025;1.0.0;Biosystems Engineering    ;"Engineering & Technology; Natural Sciences";"Biosystems engineering; sustainable solutions; agricultural practices; environmental management; data-driven decision-making; biological processes; automation; AI-driven optimization; productivity";"AI agriculture; crop health analysis; precision planting; biological system simulation; automated irrigation; livestock behavior; targeted pest control";"Agricultural data; satellite imagery; sensor networks; climate reports; yield mapping; livestock monitoring; AI-driven optimization; predictive analytics; unsupervised pattern recognition; reinforcement learning; resource allocation.";"Agricultural AI ethics; data privacy; algorithmic bias; job displacement; data protection regulations; responsible AI use; farming practice changes; food security; workforce retraining; sustainability; technology over-reliance; rural community impact";"AI-agriculture research; biosystems engineering; precision agriculture; sustainable agriculture; technology management";"Biosystems Engineering Students; AI-driven agriculture; sustainable practices; biological systems optimization; research and development; AI solutions.";"Biosystems engineering; AI-driven sustainability; agricultural practices; data analysis; machine learning; interdisciplinary teaching; research mentoring";"Semester-long curriculum; software proficiency; agricultural simulation; satellite imagery; sensor data; interdisciplinary collaboration; high-performance computing.";"AI in agriculture; biosystems engineering; agricultural data analysis; AI model development; crop monitoring; precision agriculture; biological system optimization; ethical implications; sustainable agricultural design";"AI agriculture case studies; Python TensorFlow modeling; AI-driven agricultural solutions; project report presentation; concept quizzes; comprehensive final exam; active class engagement";"AI-driven agriculture; crop disease detection; precision irrigation; AI model development; crop monitoring; yield prediction; sustainable agriculture";Yes;Yes
37;AI in Business_Economics;ABC;28-02-2025;1.0.0;Business Economics    ;Business & Economics;"Business economics; quantitative methods; organizational structures; firm-market relations; AI-driven analysis; predictive accuracy; automated data analysis; real-time insights; strategic decision-making";"Market forecasting; AI-driven analysis; customer segmentation; economic modeling; risk mitigation; supply chain optimization";"Market analysis; demand forecasting; company performance; investment opportunities; personalized marketing; customer segmentation; algorithmic trading; portfolio optimization; time series analysis; economic modeling; regression analysis; clustering techniques";"Algorithmic bias; data privacy; AI transparency; data protection regulations; AI liability; intellectual property; job displacement; economic forecasting; financial analysis; unfair lending; market manipulation; AI-driven trading; workforce retraining; AI ethics; AI fairness";"AI in Finance; Business Cases; Economic Forecasting; AI-Powered Tools; Online Courses; Harvard Business School; Ivey Business School; NBER; IMF; Python (TensorFlow; PyTorch; Scikit-learn); Bloomberg Terminal; Refinitiv Eikon; Coursera; edX; Udemy";"Business economics students; AI application; decision-making; stakeholder communication; AI strategy implementation; professional roles.";"AI-driven decision-making; Econometrics; Statistical modeling; Machine learning; AI algorithms; Python; R; Quantitative methods; Business analytics";"Funding; personnel; data access; software; institutional support; software integration; curriculum updates; AI technologies.";"AI fundamentals; machine learning; business economics; AI applications; economic data analysis; market trend forecasting; AI-driven insights; stakeholder communication; ethical implications; legal implications; social implications; AI strategy development; business decision-making";"AI-driven solutions; business economics; economic data; AI techniques; case studies; project findings; active engagement";"AI-driven solutions; algorithmic trading; fraud detection; economic forecasting; Python; R; ethical implications; AI applications; hands-on labs; AI tools; data analysis";Yes;Yes
38;AI in Business_Informatics;ABC;28-02-2025;1.0.0;Business Informatics    ;"Computer Science & Data; Business & Economics";"Business informatics; IT-driven business processes; data management; system integration; process optimization; intelligent automation; predictive analytics; decision support; strategic decisions.";"RPA; AI-driven systems; strategic decision-making; enterprise AI integration; AI-powered chatbots; predictive maintenance; supply chain optimization";"Enterprise data; CRM datasets; sales forecasts; employee performance metrics; log data; business-wide optimization; personalized customer experiences; targeted marketing; predictive analytics; resource allocation; HR analytics; workforce management; machine learning; NLP.";"Algorithmic bias; data privacy; transparency; GDPR compliance; intellectual property; liability; job displacement; workforce retraining; human interaction; efficiency; decision-making; customer experience; biased algorithms; privacy violations";"AI business intelligence; applied AI handbook; enterprise AI adoption; McKinsey AI impact reports; AI for business specialization; AI product manager; artificial intelligence courses";"AI business applications; enterprise system integration; business automation; decision-making solutions; AI initiatives; informatics students.";"Business IT; AI-driven solutions; business analytics; AI technologies; enterprise systems; business processes; analytical skills; problem-solving; communication skills; teaching abilities; machine learning; NLP";"AI software platforms; enterprise datasets; cloud-based AI platforms; budget limitations; software licenses; real-world data; time constraints";"AI fundamentals; business informatics; use case evaluation; business process automation; decision support; AI solution development; enterprise system integration; ethical implications; legal implications; social implications; stakeholder communication";"AI business applications; predictive analytics modeling; AI-driven solutions; project implementation; knowledge assessment; class engagement";"AI-driven business solutions; AI adoption strategies; AI model development; enterprise system integration; machine learning algorithms; chatbot development; fraud detection; customer churn prediction; supply chain optimization; business process transformation; AI application brainstorming";Yes;Yes
39;AI in Business_Management;ABC;28-02-2025;1.0.0;Business Management    ;Business & Economics;"Business management; organizational objectives; predictive analytics; automation; data-driven decisions; efficiency improvement; real-time insights; strategic planning; customer relations.";"AI-driven insights; predictive analytics; process automation; strategic decisions; personalization; supply chain; HR enhancement; market trends";"Predictive modeling; strategic planning; personalized marketing; sentiment analysis; performance monitoring; operational optimization; fraud detection; risk management; supervised learning; customer segmentation.";"Algorithmic bias; data privacy; AI ethics; job displacement; workforce dynamics; data protection laws";"AI business strategy; corporate decision-making; AI implementation; AI product management; online AI education; business case studies; AI applications; AI management guides";"AI applications; business administration; strategic planning; decision-making; AI project management; business efficiency; AI insights";"AI-driven analytics; business management; machine learning; data mining; natural language processing; business principles; teaching skills.";"Budget allocation; hardware-software resources; business datasets; interdisciplinary teaching; AI collaboration; specialized software limitations; time constraints; data scarcity; AI application constraints.";"AI fundamentals; business management; AI use cases; business functions; AI techniques; business data analysis; actionable insights; AI-driven strategies; business efficiency; decision-making; ethical implications; legal implications; social implications";"AI case studies; data analysis; AI-driven business strategy; project presentation; AI impact; concept assessment; knowledge evaluation; skill acquisition; active engagement";"AI-driven strategies; AI tools; machine learning algorithms; data visualization; business data analysis; AI integration; organizational performance.";Yes;Yes
40;AI in Chemical_and_Energy_Engineering;ABC;28-02-2025;1.0.0;Chemical and Energy Engineering     ;"Engineering & Technology; Natural Sciences";"Chemical processes; energy systems; AI-driven optimization; process automation; predictive maintenance; energy management; sustainability; data-driven insights; efficiency enhancement";"Chemical process optimization; predictive maintenance; energy consumption forecasting; process safety; catalyst design; supply chain optimization; AI-driven refineries; real-time monitoring; anomaly detection; machine learning models";"Chemical plants; energy production; safety protocols; laboratory experiments; process optimization; demand forecasting; hazard identification; catalyst discovery; time series analysis; anomaly detection; regression models.";"Data privacy; algorithmic bias; job displacement; environmental regulations; data protection; safety standards; workforce skills; retraining; equitable access; predictive maintenance; energy optimization; accidents; biased decision-making";"AIChE Journal; Energy & Fuels; Computers & Chemical Engineering; International Energy Agency; American Chemistry Council; AI for Process Engineering; Machine Learning for Energy Systems; AI in Chemical Engineering";"Chemical engineering; energy systems; AI implementation; process safety; energy efficiency; predictive maintenance; AI-driven solutions; Python; MATLAB.";"Process Engineering; AI-driven Automation; Chemical Process Modeling; Machine Learning; Data Analytics; Optimization; Control Systems; Engineering Education; Mentoring.";"Semester-based curriculum; software tools; domain-specific datasets; interdisciplinary support; computational resources; chemical plant data; energy systems data; Python libraries; process simulation.";"AI fundamentals; machine learning; process optimization; predictive maintenance; refineries; energy forecasting; sensor data analysis; real-time monitoring; ethical implications; legal implications; social implications; chemical engineering.";"AI algorithms; process optimization; industry case studies; AI-driven solutions; chemical engineering; energy engineering; project-based learning; AI concepts; problem-solving skills; comprehensive exams.";"AI applications; process optimization; predictive maintenance; data analysis; AI tools; Python; MATLAB; AI algorithms; real-world datasets; AI insights; traditional engineering practices; industry experts; chemical engineering; energy engineering.";Yes;Yes
41;AI in Chemical_Engineering;ABC;28-02-2025;1.0.0;Chemical Engineering - Molecular and Structural Product Design    ;"Engineering & Technology; Natural Sciences";"Molecular design; chemical engineering; property prediction; structure optimization; materials discovery; drug development; AI-driven design; macroscopic characteristics; molecular manipulation; accelerated cycles";"AI-driven chemical design; molecular property prediction; drug candidate identification; material property optimization; chemical process optimization; polymer design; catalyst design; reaction rate enhancement.";"Molecular structures; computational chemistry; chemical reaction data; material property databases; AI-driven property prediction; GNNs; physics-informed machine learning; sequence-to-sequence models; material science; molecular design; reaction optimization";"AI ethics; data privacy; AI transparency; intellectual property; regulatory compliance; job market impact; AI democratization; drug discovery; sustainable materials; optimized processes; AI misuse; algorithmic bias; job displacement; AI safety; data scarcity; high dimensionality; validation methods.";"Cheminformatics journals; computational chemistry; machine learning courses; data science; molecular modeling software; Schr dinger Materials Science Suite; OpenEye Scientific Software; Accelrys Discovery Studio";"Molecular product design; AI-driven simulations; drug discovery acceleration; chemical engineering principles; molecular modeling; AI tool development; chemical engineering; AI specialists collaboration.";"Computational chemistry; AI-driven molecular design; chemical engineering education; AI algorithms; molecular modeling; Python programming; research mentorship; publication record";"AI integration; chemical engineering curriculum; interdisciplinary collaboration; institutional funding; high-performance computing; domain-specific data; AI simulations.";"AI fundamentals; machine learning; molecular property prediction; AI-driven simulations; chemical engineering applications; ethical implications; AI tool utilization; drug discovery; material property prediction; AI solution design; algorithm implementation";"AI algorithms; chemical engineering; problem-solving; AI solution design; project implementation; results presentation; class participation";"AI-driven chemical engineering; drug discovery; molecular modeling; AI tools; molecular property prediction; hands-on AI labs; AI curriculum integration; industry expert speakers";Yes;Yes
42;AI in ComputationalVisualistics;ABC;28-02-2025;1.0.0;Computational Visualistics     ;"Computer Science & Data; Design & Creative Arts";"Computational Visualistics; interdisciplinary; visual data; AI-enhanced analysis; image recognition; 3D modeling; multimedia analytics; computer graphics; visualization techniques";"AI-driven image processing; deep learning; visual recognition; object detection; 3D modeling automation; AI-enhanced rendering; visual data analysis; pattern extraction; scene understanding.";"Computer vision datasets; 3D model files; multimedia analytics; point cloud data; AI model training; visual recognition; supervised learning; generative models; object detection; LiDAR data.";"AI ethics; algorithmic bias; data privacy; misuse potential; data protection regulations; AI copyright; liability; job displacement; stereotype perpetuation; AI transparency; medical imaging; deepfakes";"Computer vision; CVPR; ICCV; ECCV; convolutional neural networks; deep learning; visual computing; multiple view geometry; AI algorithms; Szeliski; Goodfellow; Hartley-Zisserman";"Computer science students; multimedia technology students; AI-powered visual tools; ethical implications; AI techniques; visual computing; AI application development; computer graphics; programming skills; mathematical skills.";"Computational Visualistics; AI-powered imaging; computer graphics; visual computing; AI algorithms; image processing; machine learning; technical communication.";"Software licenses; computing resources; domain-specific datasets; hardware limitations; course duration; interdisciplinary collaboration.";"AI fundamentals; machine learning; visual computing; image processing; computer vision; 3D modeling; deep learning; visual recognition; model optimization; performance evaluation; ethical implications; social implications";"AI-driven visual computing; image processing algorithms; object detection models; 3D model creation; research presentation; active discussions; problem-solving activities";"AI visual computing; real-world case studies; hands-on implementation; group problem-solving; technology integration; project-based learning.";Yes;Yes
